id,title,source,line,implementation_slices,status,evidence
B5,Research Running,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,370,"S04,S10,S33",IMPLEMENTED_UNVERIFIED,"#18/#19 fake App Server stream, RUNNING, cancellation and retry expose the real Rust-backed browser path: docs/implementation/s04-cancel-retry-evidence.md; real authenticated inference and S10 research remain pending"
B6,Tool / Turn States,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,378,"S04,S33",IMPLEMENTED_UNVERIFIED,"#18/#19 typed item lifecycle, Turn status, cancellation/retry and bounded protocol faults are persisted/rendered: docs/implementation/s04-cancel-retry-evidence.md; complete tool-card fields and S33 remain pending"
B7,Research Result — Equities,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,390,"S10,S33",NOT_STARTED,
B8,Research Result — Crypto,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,399,"S10,S33",NOT_STARTED,
B9,Immutable Turn Provenance,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,407,"S04,S12,S33",IMPLEMENTED_UNVERIFIED,#18/#19 freeze mode/context/account/environment/model/provider/context IDs and hashes and preserve them across retry: docs/implementation/s04-cancel-retry-evidence.md; S12 artifact export and S33 remain pending
C1,Market Explorer,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,422,"S07,S33",IMPLEMENTED_UNVERIFIED,"S07 #27 evidence: docs/implementation/s07-market-evidence.md at fd5e0a2089fb70063561c09f5faafac04a496e33; S33 cross-page regression remains pending"
C2,Natural-language Screener Builder,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,430,"S11,S33",NOT_STARTED,
C3,Screener Result,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,440,"S11,S33",NOT_STARTED,
C4,Equity Instrument Detail,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,444,"S07,S08,S33",IMPLEMENTED_UNVERIFIED,"S07 #27 evidence: docs/implementation/s07-market-evidence.md at fd5e0a2089fb70063561c09f5faafac04a496e33; S08 #31 evidence: docs/implementation/s08-market-evidence.md at ece04c5de3413aa13bf7437729ad9b701a31b4f3; implementation 813a75a00497d7746167c3876583f80e07b0193b plus clippy fix dc8e8c2e4b2efa59e98320f2ecdf297108d0e199; S33 regression remains pending"
C5,Crypto Instrument Detail,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,454,"S07,S08,S33",IMPLEMENTED_UNVERIFIED,"S07 #27 crypto venue-state evidence: docs/implementation/s07-market-evidence.md at fd5e0a2089fb70063561c09f5faafac04a496e33; S08 #31 evidence: docs/implementation/s08-market-evidence.md at ece04c5de3413aa13bf7437729ad9b701a31b4f3; implementation 813a75a00497d7746167c3876583f80e07b0193b plus clippy fix dc8e8c2e4b2efa59e98320f2ecdf297108d0e199; S33 cross-page regression remains pending"
C6,Market Session / Corporate Actions,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,462,"S08,S33",IMPLEMENTED_UNVERIFIED,"S08 #31 evidence: docs/implementation/s08-market-evidence.md at ece04c5de3413aa13bf7437729ad9b701a31b4f3; implementation 813a75a00497d7746167c3876583f80e07b0193b plus clippy fix dc8e8c2e4b2efa59e98320f2ecdf297108d0e199; S33 full regression remains pending"
D1,Watchlist Library,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,475,"S07,S33",IMPLEMENTED_UNVERIFIED,"S07 #28 evidence: docs/implementation/s07-watchlists-evidence.md at 1e157ae0623cdcf2139a25cf8b878b720ccdbc8b; S33 cross-page regression remains pending"
D2,Watchlist Detail,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,476,"S07,S33",IMPLEMENTED_UNVERIFIED,"S07 #28 evidence: docs/implementation/s07-watchlists-evidence.md at 1e157ae0623cdcf2139a25cf8b878b720ccdbc8b; S33 cross-page regression remains pending"
D3,New Watchlist,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,477,"S07,S33",IMPLEMENTED_UNVERIFIED,"S07 #28 evidence: docs/implementation/s07-watchlists-evidence.md at 1e157ae0623cdcf2139a25cf8b878b720ccdbc8b; S33 cross-page regression remains pending"
D4,Add Instrument to Watchlist,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,478,"S07,S33",IMPLEMENTED_UNVERIFIED,"S07 #28 evidence: docs/implementation/s07-watchlists-evidence.md at 1e157ae0623cdcf2139a25cf8b878b720ccdbc8b; S33 cross-page regression remains pending"
E1,Accounts Overview,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,486,"S02,S33",IN_PROGRESS,"docs/implementation/s02-alpaca-evidence.md (Alpaca task #6 verified at c36296ba0d121e54703555430542bb573146b2c4; other mapped work incomplete); Trading 212 task #7 verified at 5f487ec10c48eea6616dac91472abe38a8297b19: docs/implementation/s02-trading212-evidence.md; other mapped work incomplete.; Binance Spot task #8 verified at feea542bf07be13b4f4cd98eea1e81a243c7b230: docs/implementation/s02-binance-evidence.md; other mapped work incomplete.; Bitget #9: 7b5f32929cef26a784aadd44833793b5f569d330, s02-bitget-evidence.md; S02 integration/later mapped work remain incomplete; #15 account.list restore, existing-connection reuse, versioned refresh and isolated local cleanup verified: docs/implementation/s03-account-evidence.md; broader S02/S33 work remains incomplete"
E2,Provider-specific Account Detail,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,490,"S02,S33",IN_PROGRESS,"docs/implementation/s02-alpaca-evidence.md (Alpaca task #6 verified at c36296ba0d121e54703555430542bb573146b2c4; other mapped work incomplete); Trading 212 task #7 verified at 5f487ec10c48eea6616dac91472abe38a8297b19: docs/implementation/s02-trading212-evidence.md; other mapped work incomplete.; Binance Spot task #8 verified at feea542bf07be13b4f4cd98eea1e81a243c7b230: docs/implementation/s02-binance-evidence.md; other mapped work incomplete.; Bitget #9: 7b5f32929cef26a784aadd44833793b5f569d330, s02-bitget-evidence.md; S02 integration/later mapped work remain incomplete; #15 provider-specific detail reuse, DISCONNECTED/MISSING health and cleanup explanation verified: docs/implementation/s03-account-evidence.md; broader S02/S33 work remains incomplete"
E3,Portfolio,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,513,"S09,S33",NOT_STARTED,
E4,Open Order,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,523,"S25,S26,S33",NOT_STARTED,
F1,Account-scoped Live Arming,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,535,"S22,S33",NOT_STARTED,
F2,Limit Order Approval — Trading 212 / AAPL,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,551,"S22,S28,S33",NOT_STARTED,
F3,AAPL Submission / Monitoring,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,572,"S25,S28,S33",NOT_STARTED,
F4,Market Order Approval — Binance / BTC,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,587,"S22,S29,S33",NOT_STARTED,
F5,Approval Invalidated — Market Changed / Stale,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,598,"S22,S33",NOT_STARTED,
F6,Approval Expired,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,602,"S22,S33",NOT_STARTED,
F7,Risk Rejected,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,606,"S21,S33",NOT_STARTED,
F8,Broker Rejected,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,610,"S25,S33",NOT_STARTED,
F9,Ambiguous Submission / Manual Resolution,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,614,"S25,S33",NOT_STARTED,
F10,Live Cancellation,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,632,"S26,S33",NOT_STARTED,
F11,Reservation Conflict,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,638,"S23,S33",NOT_STARTED,
F12,Risk-policy Change Invalidation,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,651,"S21,S23,S27,S33",NOT_STARTED,
G1,Local Paper,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,664,"S16,S33",NOT_STARTED,
G2,Alpaca Paper,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,668,"S17,S33",NOT_STARTED,
G3,Trading 212 Demo,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,672,"S18,S33",NOT_STARTED,
G4,Binance Testnet,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,673,"S19,S33",NOT_STARTED,
G5,Bitget Demo,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,674,"S20,S33",NOT_STARTED,
H1,Strategy List,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,691,"S14,S33",NOT_STARTED,
H2,Editable Strategy Sandbox,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,692,"S14,S33",NOT_STARTED,
H3,Backtest Running,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,701,"S15,S33",NOT_STARTED,
H4,Backtest Failed,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,702,"S15,S33",NOT_STARTED,
H5,Backtest Result,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,703,"S15,S33",NOT_STARTED,
H6,Backtest Compare,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,718,"S15,S33",NOT_STARTED,
I1,Artifact Library,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,728,"S12,S33",NOT_STARTED,
I2,Artifact Detail,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,729,"S12,S33",NOT_STARTED,
I3,Provenance Drawer / Modal,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,730,"S12,S33",NOT_STARTED,
I4,Export,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,731,"S12,S33",NOT_STARTED,
J1,Providers & Models,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,741,"S02,S03,S33",IN_PROGRESS,"docs/implementation/s02-alpaca-evidence.md (Alpaca task #6 verified at c36296ba0d121e54703555430542bb573146b2c4; other mapped work incomplete); Trading 212 task #7 verified at 5f487ec10c48eea6616dac91472abe38a8297b19: docs/implementation/s02-trading212-evidence.md; other mapped work incomplete.; Binance Spot task #8 verified at feea542bf07be13b4f4cd98eea1e81a243c7b230: docs/implementation/s02-binance-evidence.md; other mapped work incomplete.; Bitget #9: 7b5f32929cef26a784aadd44833793b5f569d330, s02-bitget-evidence.md; docs/implementation/s03-routing-evidence.md (#12 credentialed route and #13 routing/cooldown evidence complete; S04 and S33 remain pending); S02 integration/later mapped work remain incomplete; #15 Accounts/Settings source selector and persisted-account refresh path verified: docs/implementation/s03-account-evidence.md; S04 and S33 remain pending"
J2,Risk & Limits,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,758,"S21,S33",IMPLEMENTED_UNVERIFIED,"docs/implementation/s03-onboarding-evidence.md; Settings Risk & Limits and persisted policy accepted in #14 at c812ad6 with decimal rejection, defaults, hard rules and reload recovery; full S21/S33 acceptance remains pending"
J3,Data & Storage,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,773,"S31,S33",NOT_STARTED,
J4,Import / Restore Workspace,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,784,"S31,S33",NOT_STARTED,
J5,Account Health,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,799,"S27,S32,S33",NOT_STARTED,
J6,Appearance,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,810,"S32,S33",NOT_STARTED,
J7,About,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,814,"S32,S34,S33",NOT_STARTED,
K1,Resume after Sleep,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,822,"S27,S33",NOT_STARTED,
K2,Startup Reconciliation,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,823,"S27,S33",NOT_STARTED,
K3,Authentication Failure,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,824,"S02,S27,S33",IN_PROGRESS,"docs/implementation/s02-alpaca-evidence.md (Alpaca task #6 verified at c36296ba0d121e54703555430542bb573146b2c4; other mapped work incomplete); Trading 212 task #7 verified at 5f487ec10c48eea6616dac91472abe38a8297b19: docs/implementation/s02-trading212-evidence.md; other mapped work incomplete.; Binance Spot task #8 verified at feea542bf07be13b4f4cd98eea1e81a243c7b230: docs/implementation/s02-binance-evidence.md; other mapped work incomplete.; Bitget #9: 7b5f32929cef26a784aadd44833793b5f569d330, s02-bitget-evidence.md; S02 integration/later mapped work remain incomplete"
K4,Private Stream Disconnect,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,825,"S27,S33",NOT_STARTED,
K5,Rate Limiting,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,826,"S27,S33",NOT_STARTED,
K6,Clock / Freshness Failure,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,827,"S08,S33",IMPLEMENTED_UNVERIFIED,"docs/implementation/s08-time-evidence.md; K6 trusted-time status, explicit recovery, aria-live/focus and responsive browser evidence; implementation c659d2b0a9e766abd41a69ec2318df0033016fdf; evidence cf8e02edfd6ecc4514731f557fc8155545b3d022; S33 full regression remains pending"
K7,Canonical Error Surface Variants,docs/TradeX_UI_Prototype_Spec_v1.0_RevC.md,831,"S32,S33",NOT_STARTED,
QA-01,Preserve cancellation through arming,docs/TradeX_Prototype_QA_Report_v1.0_RevC.md,28,"S26,S33",NOT_STARTED,
QA-02,Unknown order timeline,docs/TradeX_Prototype_QA_Report_v1.0_RevC.md,39,"S25,S33",NOT_STARTED,
QA-03,Evidence-based Manual Resolution,docs/TradeX_Prototype_QA_Report_v1.0_RevC.md,50,"S25,S33",NOT_STARTED,
QA-04,Execution eligibility and approval expiry,docs/TradeX_Prototype_QA_Report_v1.0_RevC.md,61,"S08,S21,S22,S24,S33",NOT_STARTED,
QA-05,Global disarm and dispatch interruption,docs/TradeX_Prototype_QA_Report_v1.0_RevC.md,72,"S21,S23,S24,S27,S33",NOT_STARTED,
QA-06,Immutable historical provenance,docs/TradeX_Prototype_QA_Report_v1.0_RevC.md,83,"S04,S12,S33",NOT_STARTED,
QA-07,Draft editing and proposal regeneration,docs/TradeX_Prototype_QA_Report_v1.0_RevC.md,94,"S13,S22,S33",NOT_STARTED,
QA-08,"Screener, picker and instrument selection",docs/TradeX_Prototype_QA_Report_v1.0_RevC.md,105,"S05,S07,S11,S33",NOT_STARTED,
QA-09,Backtest entry and frozen run inputs,docs/TradeX_Prototype_QA_Report_v1.0_RevC.md,116,"S14,S15,S33",NOT_STARTED,
QA-10,Model setup and remediation,docs/TradeX_Prototype_QA_Report_v1.0_RevC.md,127,"S03,S04,S27,S33",NOT_STARTED,
QA-11,Keyboard and modal focus,docs/TradeX_Prototype_QA_Report_v1.0_RevC.md,138,"S33,S33",NOT_STARTED,
QA-12,Narrow navigation and retained actions,docs/TradeX_Prototype_QA_Report_v1.0_RevC.md,149,"S33,S33",NOT_STARTED,
